year,age,people,people2
1900,0,4619544,4589196
2000,0,9735380,9310714
1900,5,4465783,4390483
2000,5,10552146,10069564
1900,10,4057669,4001749
2000,10,10563233,10022524
1900,15,3774846,3801743
2000,15,10237419,9692669
1900,20,3694038,3751061
2000,20,9731315,9324244
1900,25,3389280,3236056
2000,25,9659493,9518507
1900,30,2918964,2665174
2000,30,10205879,10119296
1900,35,2633883,2347737
2000,35,11475182,11635647
1900,40,2261070,2004987
2000,40,11320252,11488578
1900,45,1868413,1648025
2000,45,9925006,10261253
1900,50,1571038,1411981
2000,50,8507934,8911133
1900,55,1161908,1064632
2000,55,6459082,6921268
1900,60,916571,887508
2000,60,5123399,5668961
1900,65,672663,640212
2000,65,4453623,4804784
1900,70,454747,440007
2000,70,3792145,5184855
1900,75,268211,265879
2000,75,2912655,4355644
1900,80,127435,132449
2000,80,1902638,3221898
1900,85,44008,48614
2000,85,970357,1981156
1900,90,15164,20093
2000,90,336303,1064581